numero,nom,prenom,genre,district,region,parti_politique,groupe_parlementaire,status
134,RAZAFINDRAMASY,Faralahy Célestin,Masculin,Benenitra,ATSIMO ANDREFANA,Parti Vert,GPIF1,ACTIVE
135,RAZAFINDRIATSARA,Jonhson Anatol,Masculin,Befotaka,ATSIMO ATSINANANA,IRMAR,GPIF1,ACTIVE
136,RAZAFINIMARO,Désiré,Masculin,Antsirabe I,VAKINANKARATRA,IRMAR,GPIF2,ACTIVE
137,RAZAFINJATO,Aurelie Marie Augustine,Feminin,Vohibato,HAUTE MATSIATRA,IRMAR,Non_Affilié,ACTIVE
138,RAZAFINTSIHOARANA,Edison,Masculin,Anjozorobe,ANALAMANGA,Firaisankina,FIRAISANKINA,ACTIVE
139,RAZAFITSIALA,Velomanana Solomampionona,Masculin,Vohipeno,FITOVINANY,Indépendant,GPIF1,ACTIVE
140,RAZAKA,ANDRIAMIHAHO Barthelemy,Masculin,Ihosy,IHOROMBE,IRMAR,IRMAR,ACTIVE
141,RAZAKAMANANA,André,Masculin,Mandritsara,SOFIA,Indépendant,GPIF1,ACTIVE
142,RAZANAMANDIMBISOA,Tantely,Feminin,Antananarivo VI,ANALAMANGA,IRMAR,IRMAR,ACTIVE
143,RAZARA,Pierre Ravolaza Fidèle,Masculin,Ambatondrazaka,ALAOTRA MANGORO,Firaisankina,FIRAISANKINA,ACTIVE
144,RESAMPA,Ramanohy André Hajaharimalala Organës,Masculin,Morondava,MENABE,IRMAR,IRMAR,ACTIVE
145,RIVOTIANA,Richard Jean Bosco,Masculin,Lalangina,HAUTE MATSIATRA,IRMAR,IRMAR,ACTIVE
146,ROCHELIN,Houssen,Masculin,Toliara II,ATSIMO ANDREFANA,Indépendant,GPIF1,ACTIVE
147,ROILAHY,,Masculin,Toamasina II,ATSINANANA,IRMAR,GPIF1,ACTIVE
148,SAHONDRARIMALALA,Marie Michelle,Feminin,Fianarantsoa,HAUTE MATSIATRA,IRMAR,IRMAR,ACTIVE
149,SAID,ZAKANIAINA Mahafaly Joseph,Masculin,Soalala,BOENY,IRMAR,GPIF1,ACTIVE
150,SAMBO,,Masculin,Iakora,IHOROMBE,Indépendant,GPIF3,ACTIVE
151,SAMUEL,,Masculin,Mananara Nord,ANALANJIROFO,IRMAR,GPIF1,ACTIVE
152,SAORY,Christian,Masculin,Belo sur Tsiribihina,MENABE,Indépendant,GPIF1,ACTIVE
153,MANANKO,Jerome,,Analalava,SOFIA,,IRMAR,ACTIVE
154,SYLVIE,Liva Gervais,Feminin,Besalampy,MELAKY,IRMAR,GPIF1,ACTIVE
155,TARKA,Jean Michel,Masculin,Antanambao Manampontsy,ATSINANANA,Indépendant,GPIF1,ACTIVE
156,TOKELY,Justin,Masculin,Sambava,SAVA,IRMAR,IRMAR,ACTIVE
157,TOLIA,Bernard,Masculin,Tsihombe,ANDROY,IRMA,GPIF3,ACTIVE
158,TSARADIA,Marco,Masculin,Ampanihy,ATSIMO ANDREFANA,Indépendant,GPIF1,ACTIVE
159,TSIKIVY,Adrien,Masculin,Kandreho,BETSIBOKA,IRMAR,GPIF3,ACTIVE
