id,titre,date,heure,type_seance,lieu,status,session,is_live
268,TRAVAUX DES COMMISSIONS – (Salle BP),2026-06-03,15:00:00,Travaux des commissions,Salle BP,A_VENIR,,Non
267,TRAVAUX DES COMMISSIONS – (Salle BP),2026-06-03,11:00:00,Travaux des commissions,Salle BP,A_VENIR,,Non
265,TRAVAUX DES COMMISSIONS – (Salle BP),2026-06-02,15:00:00,Travaux des commissions,Salle BP,PASSEE,,Non
264,TRAVAUX DES COMMISSIONS – (Salle BP),2026-06-02,09:00:00,Travaux des commissions,Salle BP,PASSEE,,Non
262,TRAVAUX DES COMMISSIONS – (Salle BP),2026-06-01,09:00:00,Travaux des commissions,Salle BP,PASSEE,,Non
263,TRAVAUX DES COMMISSIONS – (Salle BP),2026-06-01,15:00:00,Travaux des commissions,Salle BP,PASSEE,,Non
261,,2026-05-28,10:00:00,Autre,,PASSEE,,Non
260,SEANCE PLENIERE – (Salle des Séances),2026-05-21,10:00:00,Séance Plénière,Salle des séances,PASSEE,,Non
258,Réunion des membres du Bureau Permanent – (Salle BP),2026-05-20,15:30:00,Réunion des membres du Bureau Permanent,Salle BP,PASSEE,,Non
256,REUNION DU PARLEMENT REGIONALE DES JEUNES DE L’INDIANOCEANIE (PRJIO),2026-05-20,09:00:00,Autre,Salle des séances,PASSEE,,Non
259,Conférence des Présidents – (Salle B.P),2026-05-20,16:30:00,Conférence des Présidents,Salle BP,PASSEE,,Non
257,Réunion des membres du Bureau Permanent – (Salle BP),2026-05-20,10:00:00,Réunion des membres du Bureau Permanent,Salle BP,PASSEE,,Non
253,SEANCE PLENIERE – (Salle des Séances),2026-05-19,10:00:00,Séance Plénière,Salle des séances,PASSEE,,Non
254,SEANCE PLENIERE – (Salle des Séances),2026-05-19,15:00:00,Séance Plénière,Salle des séances,PASSEE,,Non
255,SEANCE PLENIERE – (Salle des Séances),2026-05-19,17:00:00,Séance Plénière,Salle des séances,PASSEE,,Non
250,SEANCE PLENIERE – (Salle des Séances),2026-05-18,10:00:00,Séance Plénière,Salle des séances,PASSEE,,Non
252,SEANCE PLENIERE – (Salle des Séances),2026-05-18,17:00:00,Séance Plénière,Salle des séances,PASSEE,,Non
251,SEANCE PLENIERE – (Salle des Séances),2026-05-18,15:00:00,Séance Plénière,Salle des séances,PASSEE,,Non
249,TRAVAUX DES COMMISSIONS – (Salle des Séances),2026-05-13,09:00:00,Travaux des commissions,Salle des séances,PASSEE,,Non
247,TRAVAUX DES COMMISSIONS – (Salle BP),2026-05-12,09:00:00,Travaux des commissions,Salle BP,PASSEE,,Non
248,TRAVAUX DES COMMISSIONS – (Salle BP),2026-05-12,14:00:00,Travaux des commissions,Salle BP,PASSEE,,Non
